name,TestLocation
coordinates,A0
name_reference,"at the TestLocation"

east,"Test, you are going east." "east_location"
east_exit_location,east_test_location

west,"Test, you are going west." "west_location"
west_exit_location,west_test_location

south,"You cannot go there, my Test friend"
south_exit_location,

north,"Test, you are going north."
north_exit_location,north_test_location

enter,"Test, you are entering TestLocation."
description,"Test, you are taking a quick look-around."

items,item1 item2 item3 item4
people,person1 person2 person3
structures,Test_structure_1 Test_structure_2
